City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,tataouine,32.9297,10.4518,48.49,85,99,10.13,TN,2025-01-01
130,san patricio,28.017,-97.5169,57.15,51,16,9.53,US,2025-01-01
131,rucar,45.4,25.1667,34.2,61,11,3.94,RO,2025-01-01
132,susuman,62.7833,148.1667,-28.93,100,95,1.68,RU,2025-01-01
133,tura,25.5198,90.2201,74.93,38,0,4.0,IN,2025-01-01
134,west island,-12.1568,96.8225,85.98,70,20,8.05,CC,2025-01-01
135,maraial,-8.7825,-35.8089,69.73,94,58,1.83,BR,2025-01-01
136,ha'il,27.5219,41.6907,35.62,64,0,4.61,SA,2025-01-01
137,howard springs,-12.497,131.047,93.11,49,77,7.96,AU,2025-01-01
138,ath thawrah,35.8469,38.5443,49.37,66,6,5.23,SY,2025-01-01
139,hasaki,35.7333,140.8333,49.26,32,47,6.6,JP,2025-01-01
140,callao,-12.0667,-77.15,73.72,83,75,8.05,PE,2025-01-01
141,lucapa,-8.4192,20.7447,67.35,91,100,0.69,AO,2025-01-01
142,qaqortoq,60.7167,-46.0333,2.95,68,1,6.53,GL,2025-01-01
143,talnakh,69.4865,88.3972,11.25,86,100,14.12,RU,2025-01-01
144,hawaiian paradise park,19.5933,-154.9731,72.91,96,100,5.75,US,2025-01-01
145,bakchar,57.0186,82.0711,6.82,89,67,7.81,RU,2025-01-01
146,tasqala,51.1167,50.3167,30.72,92,100,17.76,KZ,2025-01-01
147,neiafu,-18.65,-173.9833,84.88,79,40,5.75,TO,2025-01-01
148,sinabang,2.4803,96.3801,83.53,71,48,1.19,ID,2025-01-01
149,porbandar,21.6422,69.6093,75.18,46,1,9.22,IN,2025-01-01
150,natal,-5.795,-35.2094,79.02,83,20,8.05,BR,2025-01-01
151,stanley,54.868,-1.6985,41.02,90,75,13.8,GB,2025-01-01
152,kununurra,-15.7667,128.7333,100.38,44,83,5.75,AU,2025-01-01
153,soio,-6.1349,12.3689,80.13,89,100,4.59,AO,2025-01-01
154,belokurikha,51.9959,84.9896,24.85,80,27,1.14,RU,2025-01-01
155,muang xay,20.7,101.9833,81.01,38,1,3.85,LA,2025-01-01
156,sur,22.5667,59.5289,73.53,59,59,8.14,OM,2025-01-01
157,leer,53.2316,7.461,46.94,92,100,29.06,DE,2025-01-01
158,cockburn town,21.4612,-71.1419,76.57,64,91,12.17,TC,2025-01-01
159,kiunga,-6.1219,141.2906,86.14,72,75,2.57,PG,2025-01-01
160,kidal,18.4411,1.4078,60.22,22,0,11.32,ML,2025-01-01
161,keflavik,64.0049,-22.5624,21.63,68,0,12.66,IS,2025-01-01
162,sabang,5.8933,95.3214,82.18,73,75,13.22,ID,2025-01-01
163,horta,38.5333,-28.6333,63.01,96,100,11.01,PT,2025-01-01
164,bilibino,68.0546,166.4372,17.67,87,100,2.91,RU,2025-01-01
165,hamilton,39.1834,-84.5333,39.42,90,100,16.11,US,2025-01-01
166,college,64.8569,-147.8028,-16.91,73,0,0.0,US,2025-01-01
167,darwin,-12.4611,130.8418,93.18,70,40,12.66,AU,2025-01-01
168,barra de santo antonio,-9.4047,-35.5072,79.11,70,74,8.93,BR,2025-01-01
169,siniscola,40.5719,9.6922,44.13,80,13,4.38,IT,2025-01-01
170,nadi,-17.8,177.4167,82.4,74,100,0.0,FJ,2025-01-01
171,ringkobing,56.0901,8.244,46.38,87,100,14.97,DK,2025-01-01
172,st. john's,47.5649,-52.7093,39.15,97,100,6.91,CA,2025-01-01
173,kemi,65.8596,24.8228,2.97,92,75,1.14,FI,2025-01-01
174,punta arenas,-53.15,-70.9167,50.11,81,40,3.44,CL,2025-01-01
175,yungay,-9.1383,-77.7436,53.38,93,100,3.15,PE,2025-01-01
176,quthing,-30.4,27.7003,73.13,54,79,4.79,LS,2025-01-01
177,valparaiso,-33.0393,-71.6273,55.04,87,0,4.61,CL,2025-01-01
178,casas grandes,30.3667,-107.95,50.52,17,68,8.05,MX,2025-01-01
